x,y
400,328
268,128
336,380
372,200
344,232
284,300
276,300
340,224
368,296
368,240
268,252
308,292
428,236
324,236
368,248
360,260
340,188
368,208
328,244
352,220
324,232
332,228
304,252
304,180
324,232
396,260
348,216
336,184
372,272
320,284
360,232
376,300
308,248
328,220
336,228
328,180
308,208
308,232
328,240
336,248
320,228
272,188
288,216
336,224
308,244
288,216
320,240
300,244
292,252
316,240
308,204
308,248
300,280
300,256
348,228
252,236
332,212
336,236
300,216
280,220
328,232
328,228
304,216
280,228
340,240
348,208
352,232
300,224
316,216
356,240
396,220
292,220
324,220
328,212
344,244
360,244
340,244
332,224
344,240
344,288
336,288
340,196
356,212
304,232
324,184
332,232
312,260
288,212
300,228
312,208
280,244
308,216
296,224
316,220
304,224
316,208
300,224
308,220
340,192
312,248
288,208
328,232
372,212
352,220
308,220
368,224
344,232
340,252
352,288
316,196
260,132
280,316
304,232
304,224
296,196
328,296
332,268
328,260
308,268
288,256
324,276
332,264
328,268
324,264
340,244
352,268
328,252
348,256
336,256
368,252
352,268
352,252
340,276
336,264
304,248
312,268
336,248
364,260
320,236
328,228
348,204
308,196
280,216
312,208
304,216
276,216
288,228
292,240
304,240
300,260
296,268
316,252
324,256
300,244
304,252
284,200
312,176
292,236
324,204
320,236
348,264
340,196
340,200
340,236
332,200
324,248
316,228
260,188
304,244
404,232
324,228
320,240
364,268
268,256
332,212
316,148
236,280
320,280
324,252
272,240
324,288
284,264
336,268
324,264
328,268
340,264
340,228
348,284
348,252
356,236
352,252
352,236
360,240
340,268
336,248
348,268
328,256
328,288
296,164
280,212
