x,y
319,358
287,175
273,220
332,280
360,253
270,266
285,201
371,220
325,234
302,230
299,205
313,200
281,219
309,227
312,253
319,228
324,233
351,246
351,246
314,218
294,184
327,202
328,226
331,239
337,243
301,207
320,179
321,270
327,297
325,248
323,264
325,233
342,230
356,239
356,251
361,243
340,250
357,242
306,219
306,197
337,248
382,192
273,176
259,218
373,189
351,206
348,217
344,220
335,197
325,194
319,190
310,255
394,296
283,233
253,214
420,202
323,183
323,188
376,258
381,211
345,198
362,206
382,227
366,217
351,206
368,187
358,193
351,209
352,188
343,187
309,204
298,204
293,213
281,194
281,189
293,199
274,193
286,207
294,179
335,209
338,207
338,196
317,209
314,199
310,198
333,194
345,195
346,233
341,440
118,331
403,175
259,329
208,246
300,228
154,203
221,167
189,97
72,20
60,83
66,88
45,54
53,38
87,26
85,7
